#organism	nchr	16Scopy	nprot	nprot_w_function	lineage
Caulobacter_K31_uid58551	1	2	5061	2145	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Caulobacterales;f:Caulobacteraceae;g:Caulobacter;s:undef
Streptomyces_cattleya_NRRL_8057_uid77117	1	6	5763	1742	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Streptomycetales;f:Streptomycetaceae;g:Streptomyces;s:Streptomycescattleya
Sphaerochaeta_pleomorpha_Grapes_uid82365	1	4	3159	1525	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Spirochaetales;f:Spirochaetaceae;g:Sphaerochaeta;s:Sphaerochaetapleomorpha
Pyrobaculum_neutrophilum_V24Sta_uid58421	1	2	1966	914	k:Archaea;p:Crenarchaeota;c:Thermoprotei;o:Thermoproteales;f:Thermoproteaceae;g:Pyrobaculum;s:Pyrobaculumneutrophilum
Halomicrobium_mukohataei_DSM_12286_uid59107	1	2	3173	1188	k:Archaea;p:Euryarchaeota;c:Halobacteria;o:Halobacteriales;f:Halobacteriaceae;g:Halomicrobium;s:Halomicrobiummukohataei
Sulfolobus_islandicus_M_16_27_uid58851	1	1	2657	1063	k:Archaea;p:Crenarchaeota;c:Thermoprotei;o:Sulfolobales;f:Sulfolobaceae;g:Sulfolobus;s:Sulfolobusislandicus
Streptobacillus_moniliformis_DSM_12112_uid41863	1	5	1434	789	k:Bacteria;p:Fusobacteria;c:Fusobacteriia;o:Fusobacteriales;f:Leptotrichiaceae;g:Streptobacillus;s:Streptobacillusmoniliformis
Rhizobium_etli_CFN_42_uid58377	1	3	4035	2151	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Rhizobiaceae;g:Rhizobium;s:Rhizobiumetli
Streptococcus_salivarius_CCHSS3_uid70481	1	6	2027	1097	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcussalivarius
Mahella_australiensis_50_1_BON_uid66917	1	3	2870	1397	k:Bacteria;p:Firmicutes;c:Clostridia;o:Thermoanaerobacterales;f:Thermoanaerobacterales;g:Mahella;s:Mahellaaustraliensis
Candidatus_Sulcia_muelleri_CARI_uid52535	1	1	246	224	k:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:undef;g:Sulcia;s:Sulciamuelleri
Borrelia_garinii_PBi_uid58125	1	1	825	512	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Spirochaetales;f:Borreliaceae;g:Borrelia;s:Borreliabavariensis
Haloquadratum_walsbyi_DSM_16790_uid58673	1	2	2607	1159	k:Archaea;p:Euryarchaeota;c:Halobacteria;o:Haloferacales;f:Haloferacaceae;g:Haloquadratum;s:Haloquadratumwalsbyi
Filifactor_alocis_ATCC_35896_uid46625	1	4	1641	804	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Peptostreptococcaceae;g:Filifactor;s:Filifactoralocis
Echinicola_vietnamensis_DSM_17526_uid184076	1	4	4547	1472	k:Bacteria;p:Bacteroidetes;c:Cytophagia;o:Cytophagales;f:Cyclobacteriaceae;g:Echinicola;s:Echinicolavietnamensis
Gordonia_bronchialis_DSM_43247_uid41403	1	2	4616	1731	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Gordoniaceae;g:Gordonia;s:Gordoniabronchialis
Rickettsia_rickettsii_Colombia_uid86653	1	1	1350	643	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Rickettsiaceae;g:Rickettsia;s:Rickettsiarickettsii
Chlamydophila_pneumoniae_LPCoLN_uid159529	1	1	1097	533	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydiapneumoniae
Streptococcus_mutans_NN2025_uid46353	1	5	1893	1110	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcusmutans
Methylotenera_mobilis_JLW8_uid59373	1	2	2338	1452	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Methylophilales;f:Methylophilaceae;g:Methylotenera;s:Methyloteneramobilis
Clostridium_tetani_E88_uid57683	1	6	2380	1308	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiaceae;g:Clostridium;s:Clostridiumtetani
